Name,Location,Latitude, Longitude, Capacity (MW)
Holtriem,Lower Saxony,53.3637, 7.2545,207
Reußenköge,Schleswig-Holstein,54.3640, 8.5413,203
Werder/Kessin,Mecklenburg-Vorpommern,53.4255, 13.1911,201
Stößen-Teuchern,Sachsen-Anhalt,51.754, 11.5751,183
Hüselitz,Sachsen-Anhalt,52.3057, 11.4651,151
Hohe See,North Sea,54.260, 6.280,497
Borkum Riffgrund 2,North Sea,54.580, 6.2944,464
Veja Mate,North Sea,54.1900, 5.520,402
BARD,North Sea,54.2118, 5.5848,400
Global Tech I,North Sea,54.1543, 6.2438,400
