Station,Location,Latitude,Longitude,Capacity (MW)
Wyhlen Dam,Grenzach-Wyhlen,47.5389195, 7.7076817,38.5
Wendefurth Power Station,Wendefurth,51.7390417, 10.9071493,80
Walchensee Hydroelectric Power Station,Kochel am See,47.6298189, 11.3374454,124 ( 52 MW traction current)
Sylvenstein Dam,Langleger,47.5863428, 11.549651,7
Söse Dam,Osterode am Harz,51.7386962, 10.310626,1.44
Serrig Power Station,Serrig,49.566669, 6.592558,12.1
Schärding-Neuhaus Power Station,Neuhaus am Inn,48.4354009, 13.4388113,96
Ryburg-Schwörstadt Power Station,Schwörstadt,47.5868403, 7.8338555,120
Rheinfelden Power Station,Rheinfelden,47.5700403, 7.8126848,25.7
Pfrombach Power Station,Pfrombach,48.4413727, 11.9928968,? ( also traction current)
Mühlhausen Power Station,Mühlacker,48.933664, 8.90195,1.68
Möhne Dam,Günne,51.4896339, 8.0589706,7.04
Laufenburg Power Station,Laufenburg,47.5566146, 8.0480593,106
Koblenz Power Station,Koblenz,50.365783, 7.581553,16
Kachlet Power Station,Passau,48.5791554, 13.4073865,52
Ingolstadt Hydroelectric Power Station,Ingolstadt,48.7503672, 11.4119518,19.8 ( only traction current)
Iffezheim Power Station,Iffezheim,48.8327607, 8.1104851,104
Forggensee Dam,Rosshaupten,47.6542518, 10.7497251,45.5
Fankel Power Station,Fankel,50.124044, 7.227222,16.4
Eitting Power Station,Eitting,48.3589581, 11.8827975,? ( only traction current)
Dettingen Power Station,Dettingen,48.112167, 10.133225,11
Bittenbrunn Power Station,Bittenbrunn,48.7344448, 11.1436504,20.2 ( only traction current)
Bettenberg Power Station,Nagold,48.600881, 8.73715,0.2
Bertoldsheim Power Station,Rennertshofen,48.735722, 11.0208321,18.9 ( only traction current)
Bergheim Power Station,Bad Säckingen,48.7507492, 11.2729812,23.7 ( only traction current)
Bad Säckingen Power Station,Bad Säckingen,47.5577658, 7.956714,73.6
Bad Abbach Power Station,Bad Abbach,48.94638809, 12.01305556,3.5 MW ( traction current)
Aufkirchen Power Station,Aufkirchen,48.3052492, 11.8577135,40 ( 13 MW traction current)
