Station,Location,Latitude, Longitude,Capacity (MW)
Wyhlen Dam,Grenzach-Wyhlen,47.5389195, 7.7076817,38.5
Wendefurth Power Station,Wendefurth,51.7390417, 10.9071493,80
Walchensee Hydroelectric Power Station,Kochel am See,47.6298189, 11.3374454,124 ( 52 MW traction current)
Sylvenstein Dam,Langleger,47.5863428, 11.549651,7
Söse Dam,Osterode am Harz,51.7386962, 10.310626,1.44
Serrig Power Station,Serrig,49.566669, 6.592558,12.1
Schärding-Neuhaus Power Station,Neuhaus am Inn,48.4354009, 13.4388113,96
Ryburg-Schwörstadt Power Station,Schwörstadt,47.5868403, 7.8338555,120
Rheinfelden Power Station,Rheinfelden,47.5700403, 7.8126848,25.7
Pfrombach Power Station,Pfrombach,48.4413727, 11.9928968,? ( also traction current)
Mühlhausen Power Station,Mühlacker,48.933664, 8.90195,1.68
Möhne Dam,Günne,51.4896339, 8.0589706,7.04
Laufenburg Power Station,Laufenburg,47.5566146, 8.0480593,106
Koblenz Power Station,Koblenz,50.365783, 7.581553,16
Kachlet Power Station,Passau,48.5791554, 13.4073865,52
Ingolstadt Hydroelectric Power Station,Ingolstadt,48.7503672, 11.4119518,19.8 ( only traction current)
Iffezheim Power Station,Iffezheim,48.8327607, 8.1104851,104
Forggensee Dam,Rosshaupten,47.6542518, 10.7497251,45.5
Fankel Power Station,Fankel,50.124044, 7.227222,16.4
Eitting Power Station,Eitting,48.3589581, 11.8827975,? ( only traction current)
Dettingen Power Station,Dettingen,48.112167, 10.133225,11
Bittenbrunn Power Station,Bittenbrunn,48.7344448, 11.1436504,20.2 ( only traction current)
Bettenberg Power Station,Nagold,48.600881, 8.73715,0.2
Bertoldsheim Power Station,Rennertshofen,48.735722, 11.0208321,18.9 ( only traction current)
Bergheim Power Station,Bad Säckingen,48.7507492, 11.2729812,23.7 ( only traction current)
Bad Säckingen Power Station,Bad Säckingen,47.5577658, 7.956714,73.6
Bad Abbach Power Station,Bad Abbach,48.94638809, 12.01305556,3.5 MW ( traction current)
Aufkirchen Power Station,Aufkirchen,48.3052492, 11.8577135,40 ( 13 MW traction current)
Albbecken Pumped Storage Station ( Witznau Pumped Storage Station),Witznau,47.6878681, 8.2514513,220
Bleiloch Pumped Storage Station,Remptendorf,50.5252824, 11.7150521,80
Dhron Valley Dam,Heidenburg,49.796274, 6.8985558,8.1
Erzhausen Pumped Storage Station,Erzhausen,51.898611111111, 9.925,220
Geesthacht Pumped Storage Station,Geesthacht,53.4191238, 10.3936458,131
Glems Pumped Storage Station,Glems,48.5051789, 9.2872453,90
Goldisthal Pumped Storage Station,Goldisthal,50.5080843, 11.0044706,1060
Happurg Pumped Storage Station,Happurg,49.4870295, 11.4747262,176
Häusern Pumped Storage Station,Häusern,47.7553855, 8.1883067,140
Hohenwarte II Pumped Storage Station,Hohenwarte,50.6040914, 11.4749408,320
Hotzenwald Pumped Storage Station,Wehr,47.6523655, 7.9256701,992
Koepchenwerk Pumped Storage Station,Herdecke,51.411363, 7.4541378,153
Langenprozelten Pumped Storage Station,Langenprozelten,50.0531314, 9.5813522,160 ( only traction current)
Leitzach Pumped Storage Station,Vagen,47.8740619, 11.8701214,93
Markersbach Pumped Storage Station,Markersbach,50.5175266, 12.8806436,1050
Mittweida Pumped Storage Station,Mittweida,50.9895028, 13.0066431,1.65
Niederwartha Pumped Storage Station,Niederwartha,51.0913301, 13.6100435,120
Oder Valley Dam,Bad Lauterberg,51.6460663, 10.5031013,5.04
Ortenberg-Lissberg Pumped Storage Station,Ortenberg,50.3763118, 9.092592,2.3
Reisach Pumped Storage Station,Reisach,49.530104, 12.2845924,105
Rönkhausen Pumped Storage Station,Rönkhausen-Glinge,51.2247664, 7.9933155,160
Rudolf-Fettweis-Power Plant,Forbach,48.6685328, 8.3530855,44
Rusel Power Plant,Deggendorf-Mietraching,48.8592093, 13.0070293,44
Säckingen Pumped Storage Station,Bad Säckingen,47.5656065, 7.9536295,472
Tanzmühle Pumped Storage Station,Döllnitz,49.5521595, 12.281127,25.2
Waldeck I Pumped Storage Station,Hemfurth-Edersee,51.1661452, 9.0463078,146
Waldeck II Pumped Storage Station,Hemfurth-Edersee,51.1665488, 9.0465868,440
Waldshut Pumped Storage Station,Waldshut,47.6176199, 8.192625,176
Warmutsgund Pumped Storage Station,Obersdorf,47.3495674, 10.2657473,4.72
Wendefurth Pumped Storage Station,Wendefurth,51.7390151, 10.9072566,80
Wisenta Pumped Storage Station,Crispendorf,50.5763182, 11.7171872,3.3
