Name,Location,Latitude, Longitude,Capacity (MW),Remarks
Neuhardenberg Solar Park[9],Neuhardenberg,52.3649, 14.143264,145, - 
Amsdorf Solar Park[12],Amsdorf,51.28, 11.44,28, - 
Solarpark Heideblick[13],Heideblick,51.50, 13.40,27.5, - 
Solarpark Eiche[14],Eiche,52.34, 13.36,26.5, - 
Lauingen Energy Park[15],Lauingen,48.3213, 10.2527,25.7,26980 - 
1408 SOLON mover,Arnstein,50.010, 9.5515,12,14000 - 0.13
"57,912 solar modules",Pocking,48.224, 13.1755,10,11500 - 0.13
"57,600 solar modules",Mühlhausen,49.0929, 11.2559,6.3,6750 - 0.12
"30,000 BP Solar modules",Bürstadt,49.39, 8.28,5,4200 - 0.1
"33,500 Shell Solar modules",Espenhain,51.12, 12.31,5,5000 - 0.11
"25,000 BP solar modules",Merseburg,51.22, 12.0,4,3400 - 0.1
"50,000 solar modules",Gottelborn,49.21, 7.2,4,8200 - 0.23
"32,740 solar modules",Hemau,49.3, 11.47,4,3900 - 0.11
"Solara, Sharp and Kyocera solar modules",Dingolfing,48.38, 12.30,3.3,3050 - 0.11
Sharp solar modules,Guenching,49.16, 11.34,1.9,- - 
